Index,Date,Open,High,Low,Close,Adj Close,Volume
NASDAQ Composite,5/24/2018,7421.990234,7435.379883,7357.5,7424.430176,7424.430176,2035460000
NASDAQ Composite,5/25/2018,7422.200195,7452.850098,7415.580078,7433.850098,7433.850098,1771950000
NASDAQ Composite,5/29/2018,7398.509766,7435.129883,7354.290039,7396.589844,7396.589844,2095380000
NASDAQ Composite,5/30/2018,7428.410156,7473.810059,7423.669922,7462.450195,7462.450195,2058300000
NASDAQ Composite,5/31/2018,7455.580078,7492.419922,7431.410156,7442.120117,7442.120117,2533360000
NASDAQ Composite,6/1/2018,7487.660156,7557.379883,7487.22998,7554.330078,7554.330078,2212330000
NASDAQ Composite,6/4/2018,7570.080078,7607.169922,7561.200195,7606.459961,7606.459961,2152170000
NASDAQ Composite,6/5/2018,7621.359863,7644.47998,7602.379883,7637.859863,7637.859863,2063270000
NASDAQ Composite,6/6/2018,7652.799805,7691.649902,7622.310059,7689.240234,7689.240234,2198100000
NASDAQ Composite,6/7/2018,7697.410156,7697.410156,7597.660156,7635.069824,7635.069824,2339720000
NASDAQ Composite,6/8/2018,7607.740234,7653.580078,7595.140137,7645.509766,7645.509766,1949810000
NASDAQ Composite,6/11/2018,7647.240234,7677.290039,7642.870117,7659.930176,7659.930176,1959360000
NASDAQ Composite,6/12/2018,7673.870117,7708.25,7669.529785,7703.790039,7703.790039,2019890000
NASDAQ Composite,6/13/2018,7713.899902,7748.959961,7686.649902,7695.700195,7695.700195,2197830000
NASDAQ Composite,6/14/2018,7723.529785,7768.600098,7723.529785,7761.040039,7761.040039,2193630000
NASDAQ Composite,6/15/2018,7725.029785,7755.720215,7704.339844,7746.379883,7746.379883,3049870000
NASDAQ Composite,6/18/2018,7692.959961,7749.359863,7676.830078,7747.029785,7747.029785,2102660000
NASDAQ Composite,6/19/2018,7658.470215,7727.410156,7635.72998,7725.589844,7725.589844,2283340000
NASDAQ Composite,6/20/2018,7764.149902,7806.600098,7755.47998,7781.509766,7781.509766,2316420000
NASDAQ Composite,6/21/2018,7800.299805,7803.450195,7699.200195,7712.950195,7712.950195,2349640000
NASDAQ Composite,6/22/2018,7739.689941,7739.709961,7679.120117,7692.819824,7692.819824,3956300000
NASDAQ Composite,6/25/2018,7631.120117,7639.72998,7477.72998,7532.009766,7532.009766,2423190000
NASDAQ Composite,6/26/2018,7553.740234,7597.490234,7527,7561.629883,7561.629883,2068870000
NASDAQ Composite,6/27/2018,7586.330078,7610.669922,7444.169922,7445.080078,7445.080078,2319650000
NASDAQ Composite,6/28/2018,7438.109863,7526.069824,7419.560059,7503.680176,7503.680176,2208870000
NASDAQ Composite,6/29/2018,7544.129883,7573.589844,7502.950195,7510.299805,7510.299805,2208820000
NASDAQ Composite,7/2/2018,7451.899902,7568.100098,7443.100098,7567.689941,7567.689941,1777880000
NASDAQ Composite,7/3/2018,7593.629883,7594.330078,7498.5,7502.669922,7502.669922,1171420000
NASDAQ Composite,7/5/2018,7550.660156,7589.189941,7511.430176,7586.430176,7586.430176,1754690000
NASDAQ Composite,7/6/2018,7595.930176,7695.810059,7588.649902,7688.390137,7688.390137,1718600000
NASDAQ Composite,7/9/2018,7731.740234,7757.279785,7702.060059,7756.200195,7756.200195,1844440000
NASDAQ Composite,7/10/2018,7770.629883,7777.47998,7731.97998,7759.200195,7759.200195,1735230000
NASDAQ Composite,7/11/2018,7698.509766,7748.160156,7696.580078,7716.609863,7716.609863,1768480000
NASDAQ Composite,7/12/2018,7752.709961,7825.669922,7746.759766,7823.919922,7823.919922,1930830000
NASDAQ Composite,7/13/2018,7827.620117,7843.52002,7803.339844,7825.97998,7825.97998,1727500000
NASDAQ Composite,7/16/2018,7831.740234,7838.819824,7791.97998,7805.720215,7805.720215,1739360000
NASDAQ Composite,7/17/2018,7751.970215,7867.149902,7749.609863,7855.120117,7855.120117,1752210000
NASDAQ Composite,7/18/2018,7859.430176,7863.77002,7822.830078,7854.439941,7854.439941,1881110000
NASDAQ Composite,7/19/2018,7829.799805,7849.850098,7811.149902,7825.299805,7825.299805,1886300000
NASDAQ Composite,7/20/2018,7843.080078,7860.25,7815.859863,7820.200195,7820.200195,1796530000
NASDAQ Composite,7/23/2018,7806.930176,7846.759766,7776.549805,7841.870117,7841.870117,1668270000
NASDAQ Composite,7/24/2018,7914.350098,7928.790039,7814.330078,7840.77002,7840.77002,2021890000
NASDAQ Composite,7/25/2018,7839.089844,7933.310059,7838.759766,7932.240234,7932.240234,1943820000
NASDAQ Composite,7/26/2018,7848.040039,7881.299805,7834.080078,7852.180176,7852.180176,2289370000
NASDAQ Composite,7/27/2018,7889.75,7889.75,7698.959961,7737.419922,7737.419922,2193410000
NASDAQ Composite,7/30/2018,7735.27002,7740.259766,7604.240234,7630,7630,2154140000
NASDAQ Composite,7/31/2018,7654.589844,7709.490234,7614.839844,7671.790039,7671.790039,2208610000
NASDAQ Composite,8/1/2018,7701.819824,7732.680176,7670.709961,7707.290039,7707.290039,2228950000
NASDAQ Composite,8/2/2018,7659.52002,7808.850098,7659.52002,7802.689941,7802.689941,2115490000
NASDAQ Composite,8/3/2018,7819.22998,7824.060059,7783.299805,7812.009766,7812.009766,2035870000
NASDAQ Composite,8/6/2018,7809.540039,7859.680176,7801.879883,7859.680176,7859.680176,2245300000
NASDAQ Composite,8/7/2018,7878.620117,7898.200195,7868.649902,7883.660156,7883.660156,2206400000
